Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
NEWMAC,2026,men,newmac_2026,100 Fly,46.94,49.85,51.99,46.94,49.85,51.99,0.3367,2026_newmac_championships_full_results.pdf,finals,,,
NEWMAC,2026,men,newmac_2026,200 Fly,8:19.45,6:41.80,1:59.31,499.45,401.8,119.31,-25.3427,2026_newmac_championships_full_results.pdf,finals,,,
NEWMAC,2026,men,newmac_2026,200 IM,1:48.61,1:54.23,1:55.94,108.61,114.23,115.94,0.4887,2026_newmac_championships_full_results.pdf,finals,,,
NEWMAC,2026,men,newmac_2026,400 IM,3:55.55,4:11.15,4:22.17,235.55,251.15,262.17,1.7747,2026_newmac_championships_full_results.pdf,finals,,,
NEWMAC,2026,women,newmac_2026,50 Free,23.15,24.25,25.13,23.15,24.25,25.13,0.132,2026_newmac_championships_full_results.pdf,finals,,,
NEWMAC,2026,women,newmac_2026,100 Free,50.42,53.46,54.56,50.42,53.46,54.56,0.276,2026_newmac_championships_full_results.pdf,finals,,,
NEWMAC,2026,women,newmac_2026,200 Free,1:50.76,1:57.93,1:58.64,110.76,117.93,118.64,0.5253,2026_newmac_championships_full_results.pdf,finals,,,
NEWMAC,2026,women,newmac_2026,500 Free,4:52.57,5:13.71,5:20.20,292.57,313.71,320.2,1.842,2026_newmac_championships_full_results.pdf,finals,,,
NEWMAC,2026,women,newmac_2026,1650 Free,17:24.23,18:32.48,19:17.62,1044.23,1112.48,1157.62,7.5593,2026_newmac_championships_full_results.pdf,finals,,,
NEWMAC,2026,women,newmac_2026,100 Back,54.68,58.88,1:01.18,54.68,58.88,61.18,0.4333,2026_newmac_championships_full_results.pdf,finals,,,
NEWMAC,2026,women,newmac_2026,200 Back,2:04.91,2:09.93,2:13.95,124.91,129.93,133.95,0.6027,2026_newmac_championships_full_results.pdf,finals,,,
NEWMAC,2026,women,newmac_2026,100 Breast,1:03.10,1:08.67,1:09.89,63.1,68.67,69.89,0.4527,2026_newmac_championships_full_results.pdf,finals,,,
NEWMAC,2026,women,newmac_2026,200 Breast,2:16.90,2:27.29,2:34.21,136.9,147.29,154.21,1.154,2026_newmac_championships_full_results.pdf,finals,,,
NEWMAC,2026,women,newmac_2026,100 Fly,54.49,57.55,1:00.88,54.49,57.55,60.88,0.426,2026_newmac_championships_full_results.pdf,finals,,,
NEWMAC,2026,women,newmac_2026,200 Fly,2:03.34,2:07.25,2:19.57,123.34,127.25,139.57,1.082,2026_newmac_championships_full_results.pdf,finals,,,
NEWMAC,2026,women,newmac_2026,200 IM,2:02.55,2:07.10,2:13.47,122.55,127.1,133.47,0.728,2026_newmac_championships_full_results.pdf,finals,,,
NEWMAC,2026,women,newmac_2026,400 IM,4:27.54,4:45.21,4:55.08,267.54,285.21,295.08,1.836,2026_newmac_championships_full_results.pdf,finals,,,
