Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
MIAC,2026,women,miac_2026,100 Fly,54.10,1:00.16,1:02.59,54.1,60.16,62.59,0.566,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,women,miac_2026,200 Fly,2:08.63,2:20.15,2:31.71,128.63,140.15,151.71,1.5387,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,women,miac_2026,200 IM,2:09.00,2:15.42,2:19.09,129.0,135.42,139.09,0.6727,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,women,miac_2026,400 IM,4:35.14,4:50.02,5:03.02,275.14,290.02,303.02,1.8587,2026_miac-sd-results_Final.pdf,finals,,,
NESCAC,2026,men,nescac_2026,50 Free,19.61,20.56,21.01,19.61,20.56,21.01,0.0933,2026 NESCAC MENS RESULTS.pdf,finals,,,
NESCAC,2026,men,nescac_2026,100 Free,42.92,45.73,46.64,42.92,45.73,46.64,0.248,2026 NESCAC MENS RESULTS.pdf,finals,,,
NESCAC,2026,men,nescac_2026,200 Free,1:37.30,1:40.18,1:41.73,97.3,100.18,101.73,0.2953,2026 NESCAC MENS RESULTS.pdf,finals,,,
NESCAC,2026,men,nescac_2026,500 Free,4:24.25,4:35.81,4:42.31,264.25,275.81,282.31,1.204,2026 NESCAC MENS RESULTS.pdf,finals,,,
NESCAC,2026,men,nescac_2026,1000 Free,9:10.55,9:23.19,9:43.72,550.55,563.19,583.72,2.2113,2026 NESCAC MENS RESULTS.pdf,finals,,,
NESCAC,2026,men,nescac_2026,1650 Free,15:29.51,16:04.09,16:24.18,929.51,964.09,984.18,3.6447,2026 NESCAC MENS RESULTS.pdf,finals,,,
NESCAC,2026,men,nescac_2026,100 Back,48.07,49.91,52.98,48.07,49.91,52.98,0.3273,2026 NESCAC MENS RESULTS.pdf,finals,,,
NESCAC,2026,men,nescac_2026,200 Back,1:46.11,1:54.11,1:53.35,106.11,114.11,113.35,0.4827,2026 NESCAC MENS RESULTS.pdf,finals,,,
NESCAC,2026,men,nescac_2026,100 Breast,51.85,56.06,57.61,51.85,56.06,57.61,0.384,2026 NESCAC MENS RESULTS.pdf,finals,,,
NESCAC,2026,men,nescac_2026,200 Breast,1:55.12,2:01.40,2:06.20,115.12,121.4,126.2,0.7387,2026 NESCAC MENS RESULTS.pdf,finals,,,
NESCAC,2026,men,nescac_2026,100 Fly,48.23,49.50,50.00,48.23,49.5,50.0,0.118,2026 NESCAC MENS RESULTS.pdf,finals,,,
NESCAC,2026,men,nescac_2026,200 Fly,1:46.19,1:51.21,1:53.73,106.19,111.21,113.73,0.5027,2026 NESCAC MENS RESULTS.pdf,finals,,,
NESCAC,2026,men,nescac_2026,200 IM,1:47.17,1:53.49,1:52.09,107.17,113.49,112.09,0.328,2026 NESCAC MENS RESULTS.pdf,finals,,,
NESCAC,2026,men,nescac_2026,400 IM,3:50.78,4:02.73,4:06.09,230.78,242.73,246.09,1.0207,2026 NESCAC MENS RESULTS.pdf,finals,,,
NESCAC,2026,women,nescac_2026,50 Free,22.73,23.81,24.30,22.73,23.81,24.3,0.1047,2026 NESCAC WOMENS Final_Results.pdf,finals,,,
NESCAC,2026,women,nescac_2026,100 Free,50.22,51.50,52.53,50.22,51.5,52.53,0.154,2026 NESCAC WOMENS Final_Results.pdf,finals,,,
NESCAC,2026,women,nescac_2026,200 Free,1:49.86,1:54.15,1:55.71,109.86,114.15,115.71,0.39,2026 NESCAC WOMENS Final_Results.pdf,finals,,,
NESCAC,2026,women,nescac_2026,500 Free,4:52.21,5:07.91,5:10.37,292.21,307.91,310.37,1.2107,2026 NESCAC WOMENS Final_Results.pdf,finals,,,
NESCAC,2026,women,nescac_2026,1000 Free,10:00.97,10:31.43,10:42.72,600.97,631.43,642.72,2.7833,2026 NESCAC WOMENS Final_Results.pdf,finals,,,
NESCAC,2026,women,nescac_2026,1650 Free,16:47.11,17:42.09,17:58.50,1007.11,1062.09,1078.5,4.7593,2026 NESCAC WOMENS Final_Results.pdf,finals,,,
NESCAC,2026,women,nescac_2026,100 Back,55.42,56.93,58.51,55.42,56.93,58.51,0.206,2026 NESCAC WOMENS Final_Results.pdf,finals,,,
NESCAC,2026,women,nescac_2026,200 Back,2:00.38,2:06.45,2:10.38,120.38,126.45,130.38,0.6667,2026 NESCAC WOMENS Final_Results.pdf,finals,,,
NESCAC,2026,women,nescac_2026,100 Breast,1:02.50,1:05.25,1:07.91,62.5,65.25,67.91,0.3607,2026 NESCAC WOMENS Final_Results.pdf,finals,,,
NESCAC,2026,women,nescac_2026,200 Breast,2:15.96,2:24.21,2:29.43,135.96,144.21,149.43,0.898,2026 NESCAC WOMENS Final_Results.pdf,finals,,,
NESCAC,2026,women,nescac_2026,100 Fly,54.66,57.66,56.90,54.66,57.66,56.9,0.1493,2026 NESCAC WOMENS Final_Results.pdf,finals,,,
NESCAC,2026,women,nescac_2026,200 Fly,2:01.10,2:05.98,2:09.17,121.1,125.98,129.17,0.538,2026 NESCAC WOMENS Final_Results.pdf,finals,,,
NESCAC,2026,women,nescac_2026,200 IM,2:01.39,2:08.52,2:10.26,121.39,128.52,130.26,0.5913,2026 NESCAC WOMENS Final_Results.pdf,finals,,,
NESCAC,2026,women,nescac_2026,400 IM,4:20.58,4:38.56,4:39.91,260.58,278.56,279.91,1.2887,2026 NESCAC WOMENS Final_Results.pdf,finals,,,
UAA,2026,men,uaa_2026,50 Free,19.72,20.43,20.99,19.72,20.43,20.99,0.0847,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,100 Free,43.16,45.05,45.43,43.16,45.05,45.43,0.1513,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,200 Free,1:35.66,1:39.39,1:40.51,95.66,99.39,100.51,0.3233,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,500 Free,4:23.98,4:35.22,4:35.47,263.98,275.22,275.47,0.766,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,1650 Free,15:24.33,15:59.31,16:29.93,924.33,959.31,989.93,4.3733,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,100 Back,46.67,49.77,50.92,46.67,49.77,50.92,0.2833,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,200 Back,1:42.74,1:48.60,1:52.02,102.74,108.6,112.02,0.6187,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,100 Breast,53.71,55.64,56.69,53.71,55.64,56.69,0.1987,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,200 Breast,1:57.25,2:01.74,2:05.49,117.25,121.74,125.49,0.5493,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,100 Fly,46.39,48.73,49.40,46.39,48.73,49.4,0.2007,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,200 Fly,3:20.42,3:46.80,1:51.25,200.42,226.8,111.25,-5.9447,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,200 IM,1:46.69,1:49.13,1:53.88,106.69,109.13,113.88,0.4793,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,400 IM,3:49.97,3:57.25,4:06.36,229.97,237.25,246.36,1.0927,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,50 Free,22.43,23.68,24.01,22.43,23.68,24.01,0.1053,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,100 Free,48.30,51.45,52.20,48.3,51.45,52.2,0.26,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,200 Free,1:44.74,1:51.83,1:54.73,104.74,111.83,114.73,0.666,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,500 Free,4:54.08,5:01.93,5:05.47,294.08,301.93,305.47,0.7593,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,1650 Free,16:59.77,17:31.77,18:04.19,1019.77,1051.77,1084.19,4.2947,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,100 Back,54.58,56.34,58.83,54.58,56.34,58.83,0.2833,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,200 Back,1:59.60,2:05.30,2:06.94,119.6,125.3,126.945,0.4897,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,100 Breast,1:02.03,1:04.63,1:06.25,62.03,64.63,66.25,0.2813,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,200 Breast,2:15.96,2:20.64,2:24.37,135.96,140.64,144.37,0.5607,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,100 Fly,54.77,56.04,57.90,54.77,56.04,57.9,0.2087,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,200 Fly,1:59.94,2:08.12,2:08.33,119.94,128.12,128.33,0.5593,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,200 IM,2:01.01,2:07.09,2:09.41,121.01,127.09,129.41,0.56,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,400 IM,4:23.09,4:32.79,4:44.06,263.09,272.79,284.06,1.398,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
